,Maximos,Mimimos,Promedios
69,16012.5,15372.0,15986.961294671131
70,16012.5,16012.5,16012.5
71,16012.5,15376.064733556603,15961.585178684527
72,16012.5,15372.0,15974.07
73,16012.5,15372.0,15986.961294671131
74,16012.5,14739.62946711321,15974.313884013396
75,16012.5,15372.0,15961.26
76,16012.5,15372.0,15974.151294671132
77,16012.5,15376.064733556605,15999.771294671133
78,16012.5,16012.5,16012.5
79,16012.5,15372.0,15961.341294671132
80,16012.5,15372.0,15974.232589342264
81,16012.5,15372.0,15935.802589342264
82,16012.5,15372.0,15961.422589342263
83,16012.5,15372.0,15974.151294671132
84,16012.5,15372.0,15974.07
85,16012.5,14731.5,15820.431294671132
86,16012.5,15372.0,15935.64
87,16012.5,15372.0,15910.101294671133
88,16012.5,14731.5,15948.612589342263
89,16012.5,15372.0,15999.69
90,16012.5,15372.0,15986.88
91,16012.5,15376.064733556605,15999.771294671133
92,16012.5,15372.0,15961.26
93,16012.5,15372.0,15948.45
94,16012.5,15372.0,15986.961294671131
95,16012.5,14739.62946711321,15961.503884013395
96,16012.5,14731.5,15871.833884013395
97,16012.5,15372.0,15974.151294671132
98,16012.5,15372.0,15999.69
99,16012.5,14731.5,15935.883884013396
100,16012.5,15372.0,15961.341294671132
101,16012.5,15376.064733556603,15974.313884013396
102,16012.5,15376.064733556603,15974.313884013396
103,16012.5,15372.0,15961.26
104,16012.5,14095.064733556605,15897.535178684528
105,16012.5,15372.0,15999.69
106,16012.5,15372.0,15999.69
107,16012.5,15372.0,15974.232589342264
108,16012.5,15372.0,15922.83
109,16012.5,15372.0,15948.612589342263
110,16012.5,15376.064733556603,15974.313884013396
111,16012.5,14735.564733556603,15986.961294671131
112,16012.5,14731.5,15935.802589342264
113,16012.5,15372.0,15974.151294671132
114,16012.5,15372.0,15986.88
115,16012.5,15372.0,15961.422589342263
116,16012.5,15376.064733556605,15999.771294671133
117,16012.5,15372.0,15974.07
118,16012.5,15376.064733556603,15974.313884013396
119,16012.5,15376.064733556603,15999.771294671133
120,16012.5,16012.5,16012.5
121,16012.5,14731.5,15897.372589342263
122,16012.5,15372.0,15986.961294671131
123,16012.5,15372.0,15986.88
124,16012.5,15372.0,15986.88
125,16012.5,14731.5,15910.02
126,16012.5,14731.5,15922.911294671132
127,16012.5,14731.5,15935.721294671132
128,16012.5,15372.0,15986.961294671131
129,16012.5,15376.064733556605,15999.771294671133
130,16012.5,14739.62946711321,15974.232589342264
131,16012.5,15376.064733556605,15999.771294671133
132,16012.5,15372.0,15974.07
133,16012.5,15372.0,15999.69
134,16012.5,16012.5,16012.5
135,16012.5,14739.62946711321,15974.313884013396
136,16012.5,15376.064733556603,15987.042589342263
137,16012.5,15376.064733556605,15999.771294671133
138,16012.5,15372.0,15974.07
139,16012.5,15376.064733556605,15999.771294671133
140,16012.5,15372.0,15974.151294671132
141,16012.5,14731.5,15897.291294671131
142,16012.5,14739.629467113207,15923.073884013394
143,16012.5,15372.0,15974.232589342264
144,16012.5,15372.0,15974.151294671132
145,16012.5,15372.0,15961.341294671132
146,16012.5,15372.0,15935.883884013396
147,16012.5,15372.0,15961.503884013395
148,16012.5,15372.0,15974.151294671132
149,16012.5,14099.129467113207,15935.965178684528
